english,dutch
__background,achtergrond
person,persoon
bicycle,fiets
car,auto
motorcycle,motorfiets
airplane,vliegtuig
bus,bus
train,trein
truck,vrachtauto
boat,boot
traffic light,stoplicht
fire hydrant,brandkraan
stop sign,stopteken
parking meter,parkeermeter
bench,bank
bird,vogel
cat,kat
dog,hond
horse,paard
sheep,schapen
cow,koe
elephant,olifant
bear,beer
zebra,zebra
giraffe,giraffe
backpack,rugzak
umbrella,paraplu
handbag,handtas
tie,stropdas
suitcase,koffer
frisbee,frisbee
skis,skis
snowboard,snowboard
sports ball,sport bal
kite,vlieger
baseball bat,honkbalknuppel
baseball glove,honkbalhandschoen
skateboard,skateboard
surfboard,surfboard
tennis racket,tennisracket
bottle,fles
wine glass,wijnglas
cup,kop
fork,vork
knife,mes
spoon,lepel
bowl,kom
banana,banaan
apple,appel
sandwich,belegd broodje
orange,oranje
broccoli,broccoli
carrot,wortel
hot dog,hotdog
pizza,pizza
donut,donut
cake,cake
chair,stoel
couch,divan
potted plant,plant in bloempot
bed,bed
dining table,eettafel
toilet,toilet
tv,TV
laptop,laptop
mouse,muis
remote,afgelegen
keyboard,toetsenbord
cell phone,mobiele telefoon
microwave,magnetronoven
oven,oven
toaster,tosti apparaat
sink,wastafel
refrigerator,koelkast
book,boek
clock,klok
vase,vaas
scissors,schaar
teddy bear,knuffelbeer
hair drier,haardroger
toothbrush,tandenborstel